"x"
"1" NA
"2" NA
"3" NA
"4" NA
"5" NA
"6" NA
"7" NA
"8" NA
"9" NA
"10" NA
"11" "作者toolin (紅藍是世上最美的顏色)看板TWICE標題[閒聊] 又是我( ￣▽￣)σ送專時間Mon Jun 25 17:34:55 2018

不廢話~

來把這個月賺的公益錢來買專

這次送20張

不能挑版本

沒有海報（海報真的太難寄了╮(╯_╰)╭ ）

運費我出

寄出方式多半是郵局掛號

如果要寄7-11，請註明縣市路名店名

學生或經濟不方便的板友為主


這次有位我私人的朋友也是板友的once

要進院休養一陣子

推文推“祝手術順利，早日康復”

我會隨機挑選集氣推文者

推越多者選中機率越大

活動到7/8的23:00止



-----
Sent from JPTT on my Samsung SM-G955F.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.217.53.43
※ 文章網址: https://www.ptt.cc/bbs/TWICE/M.1529919299.A.027.html
※ 編輯: toolin (49.217.53.43), 06/25/2018 17:36:40
推 kuochieh: 祝手術順利，早日康復 06/25 17:36
推 snio2427: 祝手術順利，早日康復 06/25 17:36
推 chaechae: 祝手術順利，早日康復    純推不抽 06/25 17:37
推 a23701851: 祝手術順利，早日康復 06/25 17:37
推 cgf970126: 祝手術順利，早日康復 06/25 17:38
推 a1096344: 祝手術順利，早日康復！ 06/25 17:38
推 ntuicome666: 祝手術順利，早日康復 06/25 17:38
推 smallfish32: 祝手術順利，早日康復 06/25 17:38
推 IKEA9: 祝手術順利，早日康復 06/25 17:38
推 skyringcha: 祝手術順利，早日康復 06/25 17:39
推 luckyhigh: 祝手術順利，早日康復 06/25 17:40
推 a566598974: 祝手術順利，早日康復!! 06/25 17:40
推 a23701851: 祝手術順利，早日康復 06/25 17:40
推 twkian22: 純推~祝手術順利，早日康復 06/25 17:40
推 charliechao: 祝手術順利，早日康復 06/25 17:40
推 dgenerashanx: 祝手術順利，早日康復 06/25 17:40
推 emily1219: 祝手術順利，早日康復 06/25 17:41
推 fullsorry: 祝手術順利，早日康復(純推不抽，自己都想學你，太多 06/25 17:41
→ fullsorry: 專了TT) 06/25 17:41
推 alice781110: 祝手術順利，早日康復 06/25 17:41
推 kk98765498: 祝手術順利，早日康復 06/25 17:42
推 horseboa: 祝手術順利，早日康復    純推不抽 06/25 17:42
→ toolin: 沒有什麼學不學的，專輯太多真的沒地方放 06/25 17:43
推 QT1020: 祝手術順利，早日康復。純推不抽～ 06/25 17:43
推 a23701851: 祝手術順利，早日康復 06/25 17:43
推 Fuhling: 祝手術順利，早日康復    純推不抽 06/25 17:43
推 sammy881230: 祝手術順利早日康復 06/25 17:44
推 kjkyeh: 祝手術順利，早日康復    純推不抽，海報真的難寄+1 06/25 17:44
推 year09: 祝手術順利，早日康復 06/25 17:44
推 a23701851: 祝手術順利，早日康復 06/25 17:47
推 elephantchen: 祝手術順利，早日康復 06/25 17:47
推 bersor870303: 祝手術順利，早日康復 06/25 17:47
推 tyki402: 祝手術順利，早日康復！ 06/25 17:48
推 sean0229lin: 祝手術順利，早日康復 06/25 17:49
推 a23701851: 祝手術順利，早日康復 06/25 17:50
推 AstorLiu: 祝手術順利，早日康復 06/25 17:51
推 a23701851: 祝手術順利，早日康復 06/25 17:53
推 mono0526: \"祝手術順利，早日康復\"純推不抽 06/25 17:53
推 AstorLiu: 祝手術順利，早日康復 06/25 17:54
推 j2175406: 祝手術順利，早日康復！ 06/25 17:54
推 roshe8780: 祝手術順利，早日康復   早日康復啊啊啊 06/25 17:54
推 edithyh: 祝手術順利，早日康復 06/25 17:54
推 lingerlonger: 祝手術順利，早日康復    純推不抽 06/25 17:55
推 a23701851: 祝手術順利，早日康復 06/25 17:56
推 sea456123: 祝手術順利，早日康復 06/25 17:56
推 jjj45: 祝手術順利，早日康復! 06/25 17:56
推 sarah810231: 祝手術順利，早日康復 06/25 17:56
推 shock1021: 祝手術順利，早日康復 06/25 17:56
推 wei071188: 祝手術順利，早日康復 06/25 17:57
推 purple20: 祝手術順利，早日康復~~~ 06/25 17:57
推 AstorLiu: 祝手術順利，早日康復 06/25 17:57
推 popo60312: 祝手術順利，早日康復 06/25 17:57
推 whitecat430: 祝手術順利，早日康復 06/25 17:57
推 happyhsu: 祝手術順利，早日康復 06/25 17:58
推 sammy881230: 手術順利，早日康復 06/25 17:58
推 sam122094: 祝手術順利，早日康復 06/25 17:58
→ sammy881230: 祝手術順利，早日康復 06/25 17:58
推 paomine: 祝手術順利，早日康復 06/25 17:59
推 a23701851: 祝手術順利，早日康復 06/25 17:59
推 trap4: 祝手術順利，早日康復 06/25 17:59
推 ljps: 祝手術順利，早日康復 06/25 18:00
推 twice1020: “祝手術順利，早日康復” 06/25 18:00
推 tpmstr111: 祝手術順利，早日康復 06/25 18:00
推 tc3harry: 祝手術順利，早日康復 06/25 18:01
推 HSUNiFi: 祝手術順利，早日康復 06/25 18:02
推 AstorLiu: 祝手術順利，早日康復 06/25 18:02
推 baileygisys: 祝手術順利，早日康復啊啊！！ 06/25 18:03
推 aaaxxxkyo: 祝手術順利，早日康復 06/25 18:03
推 a23701851: 祝手術順利，早日康復 06/25 18:03
推 guitarider: 祝手術順利，早日康復  純推 06/25 18:04
推 mirrordream: 祝手術順利，早日康復 06/25 18:04
推 j16598231: 祝手術順利，早日康復 06/25 18:04
推 ericgg28: 祝手術順利，早日康復 06/25 18:05
→ mirrordream: 祝手術順利，早日康復 06/25 18:05
→ mirrordream: 祝手術順利，早日康復 06/25 18:05
推 AstorLiu: 祝手術順利，早日康復 06/25 18:05
推 peggyisly: 祝手術順利，早日康復 06/25 18:05
推 rbcxup6100: 祝手術順利，早日康復 06/25 18:06
推 kop88205: 祝手術順利，早日康復  純推~ 06/25 18:06
推 a23701851: 祝手術順利，早日康復 06/25 18:06
推 mirrordream: 祝手術順利，早日康復 06/25 18:07
推 AstorLiu: 祝手術順利，早日康復 06/25 18:08
→ mirrordream: 祝手術順利，早日康復 06/25 18:08
推 pointer258: 祝手術順利，早日康復（summer night 就純推不抽 06/25 18:08
推 a23701851: 祝手術順利，早日康復 06/25 18:09
推 lrelina: 祝手術順利，早日康復 06/25 18:10
→ lrelina: 祝手術順利，早日康復 06/25 18:10
推 jay566495: 祝手術順利，早日康復! 06/25 18:10
推 AstorLiu: 祝手術順利，早日康復 06/25 18:11
推 GodZeus: 祝手術順利，早日康復 06/25 18:12
推 right99: 祝手術順利，早日康復 06/25 18:12
推 waiting87: 祝手術順利，早日康復 06/25 18:12
推 runningtien: 祝手術順利，早日康復 06/25 18:12
推 gemini0527: 祝手術順利，早日康復 06/25 18:13
推 amburger90: 祝手術順利，早日康復！ 06/25 18:13
推 f25897: 祝手術順利，早日康復 06/25 18:13
